,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
Primary_Somatosensory_CortexForelimb_Region,1.77201700,1.82049500,1.74258300,1.90032100,2.06790000,2.04256700,1.86022600,2.05395700,,2.17697600,1.99919100,2.10526100,1.80910500,2.15355700,1.94141800,2.31393700,1.93713500,1.93285200,1.91654100,2.16294300,2.05031300,1.95226200,1.72262700,2.12412400,1.99891800,1.93886700,2.14326000
Primary_Somatosensory_Cortex_Hindlimb_Region,1.68143900,1.60753600,1.62603400,1.75169600,1.99181000,2.00547900,1.60434700,1.81530100,,1.85220700,1.72399400,1.81657700,1.58484600,1.92620000,1.63396200,1.79944500,1.65574100,1.74404100,1.70485800,1.74249200,1.85266200,1.75351800,1.61364200,1.89376000,1.81521000,1.67824900,1.72618100
Primary_Somatosensory_Cortex_Jaw_Region,1.50502000,1.45116600,1.42492200,1.55632400,1.72791200,2.00037600,1.54356600,1.78650600,,1.84819700,1.59140700,1.77675500,1.48269500,1.86077300,1.39393900,1.74568200,1.63314200,1.68380800,1.67114100,1.77775800,1.67861400,1.84191000,1.50948600,1.78267800,1.76901000,1.57464000,1.76272200
Primary_Somatosensory_Cortex_Shoulder_Region,0.06715912,0.07043963,0.07189763,0.07435800,0.09777713,0.10114880,0.09240075,0.08173913,,0.09176288,0.07153313,0.09148950,0.05777325,0.09057825,0.06624788,0.08811788,0.08337938,0.09723037,0.06169163,0.08283263,0.07936988,0.07399350,0.06533663,0.06925500,0.07098638,0.06469875,0.06624788
Primary_Somatosensory_Cortex_Trunk_Region,0.27301050,0.24585530,0.26881880,0.30836700,0.41543890,0.33561340,0.32814110,0.32167120,,0.36778050,0.28440110,0.37671080,0.27656440,0.37971790,0.24457950,0.36167510,0.29032430,0.31219430,0.26207550,0.27091460,0.27246380,0.31911980,0.25086710,0.23847410,0.28020940,0.24913580,0.27383060
Primary_Somatosensory_Cortex_Upper_Lip_Region,2.24240400,2.15465100,2.21561300,2.43486000,2.33498700,2.62831900,2.25871500,2.36369100,,2.43631800,2.42046200,2.42957500,2.20805000,2.47103700,2.17469800,2.45317600,2.18180600,2.31284400,2.40077900,2.46474900,2.42593000,2.49518500,2.17889000,2.61045800,2.42893700,2.22335900,2.60963800
Secondary_Somatosensory_Cortex,2.53783100,2.48096900,2.40387700,2.97295300,3.07565100,3.30455700,2.95545700,3.07565100,,3.22099500,2.93914600,3.11729500,2.69019200,3.03537400,2.76710200,3.11437900,2.99199800,3.02480300,2.75899200,3.08977600,3.02371000,2.83043400,2.42757000,3.17716400,2.79152300,2.59615100,2.95718900
Temporal_Association_Cortex,1.18006900,1.17132100,1.12749000,1.14024700,1.43075400,1.24394700,1.31438700,1.21861500,,1.42938700,1.24239800,1.50629600,1.15856300,1.42446600,1.13842500,1.39257200,1.27183200,1.29096800,1.22435600,1.29342800,1.24777500,1.30682400,1.04857500,1.20394300,1.24212500,1.25643200,1.35129300
Primary_Visual_Cortex,0.20794730,0.20976980,0.20275310,0.24348600,0.27410400,0.31656830,0.22207160,0.24676650,,0.27565310,0.21487280,0.25833940,0.19546310,0.25168730,0.20621590,0.27073240,0.24476180,0.24713100,0.21569290,0.23200430,0.23200430,0.24457950,0.21569290,0.22444090,0.21651300,0.21715090,0.23091080
Primary_Visual_Cortex_Binocular_Area,0.76144050,0.77975670,0.74512920,0.92045370,1.00009700,0.95726820,0.91279920,0.91844890,,1.15491800,0.88163440,1.24276300,0.81812030,0.97239490,0.74822740,0.97321500,0.81702680,0.90423340,0.83670980,0.90487130,0.88537060,0.90888080,0.74503800,0.90651150,0.84153940,0.77246670,0.87598470
