,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
Secondary_Visual_Cortex_Mediolateral_Area,0.13009760,0.12340760,0.10662490,0.12465980,0.10535690,0.09785771,0.11522810,0.10676040,,0.11928200,0.11652770,0.09941605,0.14039550,0.11121290,0.12302570,0.10187880,0.11290610,0.11488110,0.12613520,0.12606410,0.11446990,0.12143830,0.13275900,0.13623560,0.12164570,0.12185010,0.13326850
Secondary_Visual_Cortex_Mediomedial_Area,0.14653050,0.14932010,0.13093430,0.13596890,0.13094120,0.12119980,0.13257660,0.11964990,,0.12767620,0.14248900,0.11903320,0.15225980,0.11545480,0.13516040,0.10609380,0.14306880,0.12018860,0.12995010,0.13590750,0.12620820,0.12610260,0.14634300,0.14012810,0.14457500,0.14068820,0.14462920
Ventral_Orbital_Cortex,0.19937240,0.18796260,0.18369040,0.18664980,0.16079640,0.15546680,0.17405260,0.15105660,,0.16936450,0.18704120,0.15114240,0.18697000,0.15121640,0.17540790,0.16214480,0.17238650,0.17318130,0.20326440,0.18244900,0.17945290,0.17928370,0.19798250,0.19280260,0.18840110,0.19479760,0.19167730
Caudomedial_Entorhinal_Cortex,0.17228550,0.16222720,0.13469600,0.13482610,0.13004440,0.14735560,0.12175750,0.11308040,,0.13413770,0.13733590,0.12954270,0.15483230,0.12988960,0.12829320,0.11292720,0.14108990,0.13687330,0.14957680,0.14777800,0.13321340,0.14916920,0.14316670,0.15057270,0.14740390,0.13685040,0.13940610
Dorsal_Intermediate_Entorhinal_Cortex,0.17955540,0.19249780,0.16341120,0.17756740,0.15795040,0.20734510,0.14613860,0.14753090,,0.14898480,0.17746720,0.17050690,0.17853660,0.16233510,0.14712690,0.14124480,0.17526660,0.13925560,0.18170430,0.16265820,0.14529450,0.17422280,0.18088370,0.17109130,0.18316980,0.16666420,0.18686570
Dorsolateral_Entorhinal_Cortex,0.19235210,0.18871700,0.16236880,0.20891940,0.17344310,0.21821330,0.16589390,0.15340060,,0.16911940,0.20084040,0.19886860,0.18647140,0.15084850,0.17139730,0.15370480,0.20257920,0.16530370,0.18946830,0.18235310,0.16580200,0.18534520,0.18746420,0.20251950,0.17558730,0.17626280,0.18707180
Medial_Entorhinal_Cortex,0.12497740,0.11896790,0.11210630,0.11186440,0.09254155,0.11295480,0.09751762,0.08384065,,0.10802580,0.12495900,0.09686480,0.12895320,0.10868140,0.10147870,0.08651454,0.11185210,0.10081020,0.12200050,0.11551660,0.10198600,0.12115370,0.11615880,0.11605550,0.12627520,0.10987030,0.09922516
Ventral_Intermediate_Entorhinal_Cortex,0.13837680,0.14716110,0.14439630,0.14020460,0.10456520,0.13295300,0.10936830,0.11048660,,0.12855150,0.14391320,0.12166690,0.15208690,0.15182470,0.11828620,0.11268340,0.12502110,0.12079900,0.15482950,0.13292910,0.13052430,0.14707080,0.15419370,0.13478590,0.15449630,0.14891390,0.13972330
Claustrum,0.28886980,0.30513210,0.29957050,0.30463020,0.23377820,0.20537590,0.27579940,0.26665490,,0.25997380,0.29633280,0.21657380,0.29009330,0.21135610,0.29351130,0.26721570,0.30688570,0.29519650,0.31881580,0.31617200,0.31439280,0.29132410,0.32726280,0.32527730,0.31153130,0.31674380,0.30293170
Dorsal_Claustrum,0.27380510,0.25292740,0.25614830,0.23017260,0.18722990,0.17291450,0.16670960,0.19062540,,0.20305300,0.22457440,0.16894700,0.24616500,0.15527880,0.21075080,0.18453130,0.21600580,0.19155910,0.24242790,0.26087920,0.22295680,0.24354280,0.27947750,0.23189400,0.24447470,0.25130350,0.24876560
Posterolateral_Cortical_Amygdaloid_Area,0.16428520,0.16501380,0.14889670,0.15552670,0.11237870,0.12847450,0.12423890,0.13550970,,0.13264280,0.14394810,0.13065860,0.15753820,0.14471350,0.12357060,0.11950820,0.15019410,0.13119950,0.15785740,0.15947410,0.12942310,0.15275870,0.16402860,0.16938460,0.17150910,0.16604400,0.17093390
Ventral_Claustrum,0.31850500,0.29346020,0.28857040,0.28625460,0.23616340,0.20219630,0.22098410,0.24263980,,0.24049450,0.28080550,0.21926830,0.29645010,0.19072620,0.27324200,0.22408380,0.24874190,0.25747950,0.28815600,0.29925650,0.28669820,0.29059060,0.32542600,0.28330390,0.28973970,0.31371520,0.29014630
Hippocampus,0.19888960,0.18447040,0.17379140,0.17947720,0.16398060,0.19120360,0.16507600,0.17243630,,0.14908990,0.17760780,0.14184530,0.18875110,0.13245830,0.17514880,0.14872340,0.18320050,0.16642500,0.19964410,0.19582630,0.19157250,0.18364360,0.20617970,0.20443990,0.19740820,0.19169330,0.20264370
Dorsal_Tenia_Tecta,0.11571380,0.11495540,0.11019480,0.11393810,0.09787773,0.10854940,0.12422620,0.11766780,,0.10164800,0.11812660,0.09384650,0.12239520,0.11277380,0.11622440,0.11808160,0.10872220,0.12452760,0.12345320,0.13055620,0.11749120,0.10699170,0.13141470,0.13365080,0.12594440,0.11818460,0.11651260
Ectorhinal_Cortex,0.18784750,0.17067140,0.16185900,0.16486270,0.15345710,0.16597290,0.11389320,0.12908070,,0.12354360,0.13186960,0.12972950,0.18025010,0.09948378,0.14005040,0.11123660,0.16680110,0.11670990,0.15871600,0.14796780,0.13988940,0.14812220,0.18565530,0.16292190,0.15956390,0.16129760,0.17487830
Parasubiculum,0.18689410,0.16055590,0.15513540,0.14345130,0.12994340,0.16123420,0.13313540,0.13409540,,0.12427680,0.15781700,0.12183610,0.16003900,0.13429630,0.13855690,0.14358510,0.15162330,0.15375580,0.17031370,0.17536140,0.16730100,0.16678980,0.17332550,0.16221390,0.17661540,0.15967630,0.16393400
Perirhinal_Cortex,0.19216320,0.17023850,0.16691910,0.19983470,0.16704460,0.20899730,0.13602090,0.13857330,,0.14647780,0.15035370,0.15902300,0.17834100,0.12729060,0.15441430,0.13097700,0.19299500,0.13450050,0.16976010,0.16704090,0.16113090,0.16603990,0.18805360,0.18653990,0.16200390,0.16661330,0.18018230
Presubiculum,0.16503630,0.14791220,0.15844230,0.15115500,0.11434440,0.12222090,0.14619020,0.15305710,,0.13468870,0.16465650,0.13263440,0.17998690,0.15894040,0.15938220,0.15137480,0.14806440,0.17377870,0.17310910,0.18007970,0.17755840,0.16579030,0.17968700,0.17559790,0.17799970,0.16333610,0.16642160
Piriform_Cortex,0.20512670,0.19366850,0.18312300,0.18877020,0.16824230,0.16427030,0.17153920,0.16825000,,0.16431090,0.18813580,0.15681080,0.19173040,0.15121370,0.17636120,0.16291300,0.18179940,0.16921900,0.19473990,0.19474550,0.18579560,0.18631870,0.19935290,0.19598670,0.19403170,0.19205110,0.19746760
Amygdalopiriform_Transition_Area,0.11943700,0.14606930,0.14180820,0.12729440,0.08950653,0.12816920,0.13371440,0.10985020,,0.10036260,0.12233760,0.10625390,0.12642010,0.13978690,0.10470170,0.11145100,0.12249500,0.11420600,0.13245210,0.12032190,0.11938070,0.14011650,0.13485860,0.12845900,0.13601460,0.12373780,0.13366930
Hypothalamus,0.15815530,0.14548250,0.13204240,0.15477490,0.12063400,0.15604710,0.11734830,0.11865650,,0.12557600,0.14012560,0.12741430,0.15872000,0.12264800,0.12933650,0.11348990,0.13553210,0.13106290,0.15168770,0.15798100,0.14241950,0.14310420,0.16976980,0.15040890,0.14776890,0.15086880,0.15919090
Preoptic_Telencephalon,0.19397720,0.18198380,0.16475520,0.17523690,0.13792600,0.13363920,0.15475010,0.14683350,,0.14809340,0.17175900,0.12944920,0.18830870,0.14577970,0.16211300,0.14704910,0.15777610,0.16382980,0.18886630,0.19414040,0.18356250,0.17949570,0.20593370,0.18329000,0.18291520,0.18309110,0.17889850
Subthalamic_Nucleus,0.26861430,0.27196890,0.25835190,0.29781320,0.25799500,0.27827760,0.23419400,0.23877540,,0.24483730,0.27140500,0.23130000,0.27105590,0.21008890,0.24804020,0.21906360,0.25522560,0.23520300,0.26257150,0.25212140,0.26850660,0.26103730,0.27879350,0.27982140,0.26415750,0.28470820,0.29987250
Septum,0.22794680,0.21847030,0.19922940,0.22316150,0.17339990,0.16778640,0.18954640,0.19263030,,0.18920310,0.21884620,0.17254780,0.22613500,0.17736260,0.20028330,0.18941680,0.19766940,0.20898270,0.22827170,0.22772430,0.23104080,0.21838300,0.24722250,0.22196610,0.22264160,0.22117710,0.23096050
Globus_Pallidus,0.26277360,0.24671790,0.25085430,0.21587190,0.22453440,0.19910850,0.22955980,0.23404590,,0.25169170,0.23227060,0.17892940,0.25989710,0.23919300,0.24745760,0.21743710,0.24244190,0.24063860,0.23932860,0.24260960,0.23876350,0.25322090,0.24178480,0.25394410,0.24739240,0.23709890,0.22022190
Striatum,0.21175680,0.19993110,0.18624410,0.16810420,0.15679800,0.14296280,0.17290240,0.16724160,,0.16108460,0.17337420,0.13363470,0.19565190,0.15679580,0.17767550,0.15557790,0.17203550,0.16956700,0.18349170,0.17562270,0.17140470,0.17071100,0.18359190,0.17527500,0.17816300,0.17311680,0.17052560
Amygdala,0.18221630,0.17686710,0.15903780,0.18490780,0.12950710,0.14356050,0.13548110,0.14338920,,0.13735540,0.16365150,0.13299560,0.17702540,0.14167370,0.15166960,0.13744670,0.14404820,0.14529610,0.18480190,0.18382090,0.16794570,0.17405730,0.19699950,0.18006330,0.17378020,0.18090830,0.19302080
Accumbens,0.17179660,0.16535330,0.15207640,0.16080530,0.12454790,0.10874490,0.14767230,0.13884000,,0.14745440,0.16800720,0.12664840,0.17047880,0.13333390,0.14787740,0.14220850,0.13702230,0.15509930,0.16662410,0.16128130,0.16202630,0.15541350,0.16133460,0.16026590,0.16055410,0.15267550,0.16305900
Bed_Nucleus_of_the_Stria_Terminalis,0.24240940,0.22707460,0.21230260,0.24421050,0.18186580,0.16542390,0.22348350,0.20863680,,0.21618890,0.23649030,0.18407860,0.25552760,0.20734830,0.21975180,0.20461220,0.21771000,0.24001130,0.25852590,0.24574860,0.24538160,0.24130520,0.25658390,0.25368620,0.25172710,0.24168300,0.25809790
